<86>May 10 09:57:34 userdel[188430]: delete user 'rooter'
<86>May 10 09:57:34 userdel[188430]: removed group 'rooter' owned by 'rooter'
<86>May 10 09:57:34 userdel[188430]: removed shadow group 'rooter' owned by 'rooter'
<86>May 10 09:57:34 groupadd[188438]: group added to /etc/group: name=rooter, GID=1259
<86>May 10 09:57:34 groupadd[188438]: group added to /etc/gshadow: name=rooter
<86>May 10 09:57:34 groupadd[188438]: new group: name=rooter, GID=1259
<13>May 10 09:57:49 rpmi: libfontenc-1.1.8-alt1 sisyphus+343583.200.1.1 1711440763 installed
<13>May 10 09:57:49 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466026 installed
<13>May 10 09:57:49 rpmi: libspirv-tools0-1:2024.4-alt0.2.rc2 sisyphus+373499.200.3.3 1738959952 installed
<13>May 10 09:57:49 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572108 installed
<13>May 10 09:57:49 rpmi: perl-LWP-MediaTypes-6.04-alt1 sisyphus+225468.100.1.1 1553186684 installed
<13>May 10 09:57:49 rpmi: perl-Compress-Raw-Zlib-2.213-alt1 sisyphus+381778.100.1.1 1744806505 installed
<13>May 10 09:57:49 rpmi: perl-libnet-1:3.15-alt1 sisyphus+317310.100.1.1 1679580208 installed
<13>May 10 09:57:49 rpmi: perl-XML-SAX-Base-1.09-alt1 1494364363 installed
<13>May 10 09:57:49 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745386702 installed
<13>May 10 09:57:49 rpmi: libverto-0.3.2-alt1_1 sisyphus+321176.2200.10.2 1684806164 installed
<13>May 10 09:57:49 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605157 installed
<13>May 10 09:57:49 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333695 installed
<13>May 10 09:57:49 rpmi: libedit3-3.1.20230828-alt1 sisyphus+330914.200.3.1 1696922745 installed
<13>May 10 09:57:49 rpmi: llvm19.1-filesystem-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275350 installed
<13>May 10 09:57:49 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:57:49 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577440 installed
<13>May 10 09:57:49 rpmi: libXau-devel-1.0.11-alt1 sisyphus+311428.100.1.1 1670577440 installed
<13>May 10 09:57:50 rpmi: clang19.1-support-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275350 installed
